origin,destination,distance
CMF,WTS,2.96
CMH,ABA,1.53
CMH,FER,1.35
CML,GLC,5.13
CML,MTV,1.47
CML,RUT,2.23
CMN,FYS,7.11
CMN,WTL,14.08
CMO,CRO,9.66
CMO,CUB,8.50
CMO,FKG,0.96
CMO,LBT,1.45
CMR,RNR,3.06
CMR,WRN,2.11
CMY,GLC,2.24
CMY,PWW,1.08
CNE,NEL,2.04
CNF,BAR,3.76
CNF,LAN,6.09
CNF,SVR,3.75
CNF,WNN,9.74
CNG,KDG,5.63
CNG,MAC,8.08
CNL,COV,1.69
CNL,THL,2.10
CNM,ASC,7.25
CNM,BMV,31.14
CNM,CDU,18.02
CNM,GCR,6.53
CNM,SHU,14.49
CNN,DLJ,1.00
CNN,DLK,0.74
CNN,HHY,0.55
CNO,MDN,6.53
CNO,YET,2.05
CNP,BKP,0.48
CNP,BKQ,0.72
CNR,AUI,8.71
CNR,TYL,5.14
CNR,UTY,4.95
CNS,DON,4.75
CNS,MEX,2.28
CNW,LLJ,1.06
CNW,PMW,4.30
CNY,BUC,2.24
CNY,REE,2.16
COA,ADR,0.88
COA,CBS,0.96
COB,CLL,1.40
COB,NSB,1.70
COE,LSK,2.06
COE,SKN,1.74
COH,BXD,4.71
COH,ERI,3.50
COI,MFL,0.54
COI,QPK,0.44
COL,CET,2.28
COL,HYH,1.96
COL,MKT,5.04
COL,MNG,7.78
COM,CSM,1.59
COM,KLD,4.09
CON,OBN,6.18
CON,TAY,6.69
COO,BNE,1.55
COO,FZP,1.64
COP,MRD,1.64
COP,YEO,2.93
COR,KET,7.50
COR,OKM,17.70
COS,ALB,1.60
COS,SFN,3.16
COT,LDS,2.55
COT,MLY,2.08
COV,CAA,3.00
COV,CNL,1.69
COV,KNW,5.11
COV,RUG,11.46
COW,DFL,4.05
COW,LCG,2.21
COY,WHT,0.41
CPA,BNV,1.06
CPA,LHE,2.86
CPH,ABE,0.61
CPH,LVT,2.50
CPK,BSH,1.29
CPK,HTE,1.39
CPM,BTH,12.94
CPM,MKM,6.21
CPM,SWI,16.66
CPN,BNP,4.29
CPN,UMB,2.38
CPT,HAC,0.99
CPT,SJS,1.74
CPT,TOM,2.05
CPU,BAC,3.73
CPU,HOO,3.16
CPW,CDT,6.61
CPW,LYD,7.95
CPY,BEN,3.31
CPY,GIG,6.64
CRA,LYE,1.25
CRA,OHL,1.43
CRB,HEX,3.11
CRB,RDM,2.30
CRD,ERD,0.76
CRD,WYL,0.78
CRE,ASG,6.31
CRE,CTR,21.10
CRE,NAN,4.48
CRE,SDB,4.60
CRE,STA,24.26
CRE,WSF,7.54
CRF,CEA,1.79
CRF,HLY,0.68
CRG,GRF,2.86
CRG,LDS,4.41
CRH,HRY,0.91
CRH,UHL,0.93
CRI,HEN,1.86
CRI,WHP,1.19
CRK,GOB,3.06
CRK,RUA,4.26
CRL,ADL,3.06
CRL,BSV,2.00
CRM,MAS,9.35
CRM,MPT,6.70
CRN,SND,1.55
CRN,WKM,3.28
CRO,CMO,9.66
CRO,FKK,10.29
CRO,LBT,9.99
CRO,LNZ,5.25
CRR,RAN,7.23
CRR,TUL,10.06
CRS,CLU,8.28
CRS,KKN,17.75
CRS,LOC,47.84
CRT,CBW,3.16
CRT,CIL,2.08
CRV,BME,2.76
CRV,CTT,7.17
CRV,LUD,7.56
CRW,IFI,1.23
CRW,TBD,1.34
CRY,BXY,1.45
CRY,DFD,1.83
CRY,SGR,2.36
CSA,BDH,3.36
CSA,HLS,1.43
CSA,PTC,2.65
CSB,SUO,1.04
CSB,WLT,0.84
CSD,EFF,2.33
CSD,OXS,1.80
CSG,AIG,0.73
CSG,HNX,2.39
CSG,LPY,0.75
CSH,HCB,0.86
CSH,SUO,1.33
CSK,BAS,1.69
CSK,GSL,2.91
CSL,ALB,3.15
CSL,BBK,0.51
CSM,COM,1.59
CSM,DNY,1.45
CSN,CSS,0.60
CSN,TOL,1.24
CSO,PRE,7.28
CSO,RUF,2.55
CSR,FLI,0.66
CSR,URM,0.55
CSS,CSN,0.60
CST,LBG,0.70
CSW,HNB,2.16
CSW,WHI,1.49
CSY,TIP,1.38
CSY,WVH,3.31
CTE,HNC,1.00
CTE,MEY,1.00
CTF,BGM,0.88
CTF,CFT,0.90
CTH,GMY,0.69
CTH,RMF,2.40
CTK,BFR,0.37
CTK,ZFD,0.34
CTL,HMM,1.48
CTL,KNA,6.40
CTM,GLM,1.63
CTM,RTR,0.56
CTN,BKH,1.95
CTN,WCB,0.59
CTN,WWD,1.15
CTO,BUJ,2.04
CTO,NOT,3.14
CTR,BAC,1.44
CTR,CRE,21.10
CTR,HSB,7.43
CTR,MLD,7.25
CTR,SHT,7.84
CTR,WRX,12.08
CTT,CRV,7.17
CTT,SHR,12.78
CTW,ACR,0.84
CTW,RIS,1.63
CUA,ARD,3.13
CUA,INH,0.43
CUB,CMO,8.50
CUB,GRL,0.69
CUB,LBT,8.00
CUD,DLM,2.95
CUD,GBK,2.84
CUF,BAY,3.49
CUF,CWH,1.71
CUH,KKN,4.50
CUH,WTA,1.60
CUM,APF,1.01
CUM,RAD,2.23
CUP,LEU,6.23
CUP,SPF,2.30
CUW,CLR,6.84
CUW,WTL,5.35
CUX,HAI,1.76
CUX,SOO,2.33
CWB,AGL,6.10
CWB,LLJ,4.03
CWC,BUE,3.33
CWC,MKT,3.48
CWD,LAG,2.25
CWD,WWL,1.36
CWE,ALP,3.73
CWE,TNS,6.03
CWH,CUF,1.71
CWH,GDH,1.64
CWL,GMV,2.83
CWL,LED,4.14
CWM,NWP,7.99
CWM,PPL,2.92
CWM,STJ,15.81
CWN,AHS,2.78
CWN,HEV,1.99
CWS,MCN,21.65
CWS,NWT,5.55
CWU,BAT,2.05
CWU,WLD,3.13
CYB,CGW,0.68
CYB,GWE,1.88
CYK,DMR,1.24
CYK,YOK,0.84
CYN,LLV,4.69
CYN,SUG,3.98
CYP,BIK,1.63
CYP,GIP,0.75
CYP,NWD,1.50
CYP,SYD,1.15
CYS,CDQ,0.49
CYS,LLN,2.75
CYT,MLH,0.66
CYT,PLS,1.11
DAG,AUR,2.85
DAG,INK,1.43
DAK,BDG,0.50
DAK,RUT,0.79
DAL,LHA,2.75
DAL,TYL,12.08
DAM,EGY,4.03
DAM,LIN,9.96
DAM,NQU,1.84
DAN,SHF,2.10
DAN,WDH,3.18
DAR,DHM,22.04
DAR,DND,3.81
DAR,NRD,1.28
DAR,NTR,14.18
DAT,SNY,1.20
DAT,WNR,1.80
DBC,DBE,0.56
DBC,DLR,0.38
DBD,PNS,4.06
DBD,SPY,2.20
DBE,BWG,2.59
DBE,DBC,0.56
DBG,DEN,3.85
DBG,ROM,3.71
DBL,BEA,2.11
DBL,GLE,12.36
DBR,TRM,8.10
DBR,WFI,2.56
DBY,CHD,24.15
DBY,DFI,5.21
DBY,PEA,1.38
DBY,SPO,2.53
DCG,PLK,1.16
DCG,STF,3.93
DCH,MTN,5.58
DCH,UPW,4.51
DCT,FRW,0.50
DCT,RDR,1.25
DCW,MDN,7.64
DCW,UPW,4.59
DDG,LPW,2.55
DDG,WMR,1.90
DDK,BKG,3.05
DDK,RNM,2.11
DDP,SAD,1.96
DDP,TIP,0.89
DEA,SDW,4.13
DEA,WAM,1.64
DEE,BYF,3.91
DEE,ING,3.39
DEE,LEU,8.34
DEN,DBG,3.85
DEN,GRT,17.45
DEN,SAL,8.99
DEP,GNW,0.51
DEP,LBG,3.08
DEW,BTL,1.34
DEW,RVN,1.43
DFD,BNH,3.10
DFD,CRY,1.83
DFD,SCG,1.96
DFD,SGR,2.01
DFE,DFL,1.60
DFE,ROS,2.23
DFI,BLP,2.53
DFI,DBY,5.21
DFL,COW,4.05
DFL,DFE,1.60
DFR,BCN,1.39
DFR,WNL,0.92
DGC,DNM,0.85
DGC,GER,1.78
DGL,GTN,2.16
DGL,PEN,0.45
DGT,ECC,3.54
DGT,MCO,0.36
DGT,SFD,1.24
DGT,SLD,1.45
DGT,TRA,3.05
DGY,LLD,1.73
DGY,LLJ,1.25
DHM,CLS,5.76
DHM,DAR,22.04
DHN,BGH,3.25
DHN,HUD,2.00
DHN,MIR,2.69
DID,APF,2.08
DID,CHO,4.66
DID,SWI,24.16
DIG,NCO,1.00
DIG,POL,1.90
DIN,ASS,10.15
DIN,CBD,3.00
DIN,GVE,11.85
DIS,NRW,19.98
DIS,SMK,14.38
DKD,PIT,12.88
DKD,PTH,15.53
DKG,BXW,0.91
DKG,HLM,4.96
DKT,DPD,0.71
DKT,GOM,4.74
DLG,NLR,2.96
DLG,TLC,3.08
DLH,TOK,1.28
DLH,WSE,4.26
DLJ,CNN,1.00
DLJ,HGG,0.40
DLK,CNN,0.74
DLK,HKC,0.75
DLK,LOF,1.57
DLM,CUD,2.95
DLM,MLD,2.90
DLR,CDR,3.15
DLR,DBC,0.38
DLR,RTN,1.66
DLS,CAR,4.04
DLS,WGT,7.50
DLT,ROO,4.29
DLT,ULV,3.21
DLW,BLA,23.48
DLW,NWR,10.19
DLY,GLG,2.74
DLY,KWN,3.48
DMC,DMY,0.88
DMC,WES,1.13
DMF,ANN,15.51
DMF,SQH,26.12
DMG,POR,1.39
DMG,TNP,0.54
DMH,WMN,3.31
DMH,WSB,1.34
DMK,BRX,1.11
DMK,CLP,1.96
DMK,EPH,2.60
DMK,PMR,0.86
DMP,BSR,1.23
DMP,RAM,0.94
DMR,CYK,1.24
DMR,KPT,1.28
DMR,SIN,0.88
DMS,EGR,2.29
DMS,LFD,1.50
DMY,DMC,0.88
DMY,SIN,0.94
DND,DAR,3.81
DND,TEA,1.75
DNG,KCK,4.03
DNG,SEV,1.55
DNL,BRR,9.06
DNL,STT,2.23
DNM,DGC,0.85
DNM,WRU,2.71
DNO,BRA,4.40
DNO,GOL,1.83
DNS,CAD,1.90
DNS,EBK,0.98
DNT,GSD,3.25
DNT,RHD,6.15
DNY,CSM,1.45
DNY,LHM,3.61
DOC,DPT,0.40
DOC,KEY,0.56
DOD,BNY,2.75
DOD,SLK,1.50
DOL,LLT,3.64
DOL,PNY,2.94
DON,BYK,1.63
DON,CNS,4.75
DON,GBL,21.16
DON,KKS,3.56
DON,PFM,16.68
DON,RET,17.35
DON,SBY,18.35
DON,YRK,32.54
DOR,GRN,5.23
DOR,SHF,4.25
DOT,MCE,1.23
DOT,NCL,2.29
DOW,LTP,10.08
DOW,WTG,4.79
DPD,BTO,2.59
DPD,DKT,0.71
DPT,DOC,0.40
DPT,PLY,1.25
DRF,HUT,3.20
DRF,NFN,2.11
DRG,CBP,0.46
DRG,WEA,0.58
DRI,RAV,1.76
DRI,SSC,2.25
DRM,DUN,11.31
DRM,LND,4.53
DRM,NBW,4.38
DRN,KYL,3.88
DRN,PLK,1.45
DRO,CHD,5.30
DRO,GRN,7.55
DRO,SHF,6.95
DRT,BNY,3.39
DRT,WKK,7.58
DRU,ADR,1.50
DRU,CAC,2.51
DSL,MDL,1.46
DSL,NMN,1.66
DSM,HAS,5.19
DSM,SAX,4.33
DST,AXP,0.34
DST,BLG,0.56
DSY,HGF,1.47
DSY,HIN,2.51
DTG,BDB,2.15
DTG,GLO,1.06
DTG,HDF,0.86
DTN,GUI,1.86
DTN,MCV,8.38
DTN,RDS,1.86
DTW,BMV,6.16
DTW,HBY,5.64
DTW,WOF,6.03
DTW,WOS,5.76
DUD,AST,1.39
DUD,BHM,1.45
DUL,CBG,11.36
DUL,NMK,3.15
DUM,CKH,1.31
DUM,GLC,2.45
DUN,BWK,28.40
DUN,DRM,11.31
DUN,RSN,17.37
DUR,GBS,0.91
DUR,WWO,0.80
DVC,HPQ,1.36
DVC,HWC,0.46
DVH,BUX,3.04
DVH,CEF,2.30
DVN,SPT,0.96
DVN,WSR,0.89
DVP,FKC,7.41
DVP,KSN,2.18
DVP,MTM,4.94
DVY,BRH,8.33
DVY,MCN,3.90
DVY,PHG,5.06
DWD,PYP,1.41
DWD,RMB,1.81
DWL,DWW,1.64
DWL,TGM,2.91
DWN,BBN,4.15
DWN,ENT,3.75
DWW,DWL,1.64
DWW,SCS,1.98
DYC,ABD,6.14
DYC,KTR,7.05
DYF,LBR,2.21
DYF,TLB,1.16
DYP,FPK,0.76
DYP,HHY,0.43
DZY,HNL,2.97
DZY,WDE,1.88
EAD,CLJ,1.66
EAD,WIM,1.66
EAG,ALW,0.48
EAG,STK,3.04
EAG,TBY,3.00
EAG,YRM,2.50
EAL,AML,1.44
EAL,WEA,0.81
EAR,RDG,2.84
EAR,WTI,1.08
EBA,LEY,2.75
EBA,WGN,8.36
EBB,EBV,1.00
EBD,AFK,33.55
EBD,GRV,2.06
EBD,SFA,16.47
EBK,CGN,0.73
EBK,DNS,0.98
EBL,BNR,1.94
EBL,SEB,1.78
EBN,HMD,1.99
EBR,GDN,4.89
EBR,PHR,5.00
EBT,HEV,1.76
EBT,HUR,4.34
EBV,EBB,1.00
EBV,LTH,5.00
ECC,DGT,3.54
ECC,PAT,1.16
ECC,SFD,3.21
ECL,PSC,0.88
ECL,THH,0.96
ECP,ABE,1.03
ECP,LNB,1.00
ECR,NWD,1.65
ECR,SCY,0.90
ECR,SRS,1.15
ECS,ATL,3.61
ECS,HRD,3.06
EDB,BSU,3.90
EDB,HYM,1.24
EDB,MUB,5.28
EDB,NEW,4.68
EDG,BGE,1.86
EDG,LIV,1.54
EDG,MSH,2.21
EDG,WAV,0.75
EDL,CLY,5.74
EDL,HOP,4.95
EDN,ELE,1.35
EDN,WWI,0.81
EDP,HYM,3.61
EDP,LIN,12.75
EDP,UHA,7.89
EDR,BHK,1.26
EDR,SBU,1.84
EDR,SLV,0.66
EDW,NDL,0.53
EDW,PMR,0.84
EDY,BNA,0.90
EDY,GTY,1.20
EFF,BKA,1.69
EFF,CSD,2.33
EFF,HSY,1.03
EFL,MDW,1.83
EFL,WTR,2.98
EGF,GRF,0.59
EGF,MIK,1.43
EGG,KGN,3.94
EGG,LAP,3.89
EGH,SNS,2.01
EGH,VIR,2.16
EGN,GBD,2.31
EGN,HOW,3.09
EGR,DMS,2.29
EGT,GLS,1.60
EGT,GMT,1.50
EGY,DAM,4.03
EGY,SGL,0.85
EKB,NEG,1.41
EKB,SFI,2.51
EKL,HMY,1.64
ELD,PUR,8.34
ELD,RDH,0.94
ELD,SAF,1.85
ELE,CLK,0.79
ELE,EDN,1.35
ELG,FOR,12.23
ELG,KEH,18.18
ELO,ALK,1.83
ELO,BTF,2.60
ELP,OVE,1.18
ELP,SNT,2.50
ELR,CLN,3.04
ELR,WOM,1.58
ELS,MIL,3.09
ELS,RDT,2.81
ELW,FCN,1.31
ELW,KDB,1.09
ELY,LTP,5.65
ELY,MNE,9.83
ELY,SOJ,4.93
ELY,SPP,6.89
ELY,WBC,9.35
EMD,ATB,5.16
EMD,LBO,5.00
EMD,LGE,3.85
EMD,LGM,13.15
EML,BMG,1.74
EML,WMA,1.06
EMP,RMF,1.79
EMP,UPM,1.53
EMS,SOB,1.43
EMS,WBL,1.20
ENC,GDH,0.75
ENC,GPK,0.68
ENF,BHK,0.78
ENL,BMD,1.06
ENL,WLC,0.98
ENT,BMC,3.02
ENT,DWN,3.75
EPD,BAD,1.46
EPH,BFR,1.21
EPH,DMK,2.60
EPH,LGJ,2.01
EPS,AHD,2.03
EPS,EWE,1.54
EPS,EWW,1.24
ERA,BOM,0.50
ERA,HOO,0.93
ERD,CRD,0.76
ERD,GVH,0.96
ERH,BVD,1.23
ERH,SGR,1.14
ERI,AHS,3.56
ERI,COH,3.50
ERL,NLW,1.51
ERL,SHJ,2.84
ERL,WBQ,4.98
ESD,CIT,0.98
ESD,GRP,1.29
ESH,HER,1.53
ESH,SUR,2.35
ESL,CFR,2.00
ESL,HDE,3.51
ESL,SHW,3.83
ESL,SOA,1.39
ESM,NWE,4.35
ESM,SSD,4.33
ESM,SST,2.20
EST,BAI,2.56
EST,GAR,1.00
ESW,SMK,5.90
ESW,TRS,4.49
ETC,RBR,2.15
ETC,SOG,3.61
ETL,SFO,2.14
ETL,TBR,3.11
ETL,TIL,3.49
EUS,SOH,2.39
EVE,HYB,4.98
EVE,PSH,5.96
EWD,TLK,0.81
EWD,WYT,1.08
EWE,CHE,1.46
EWE,EPS,1.54
EWR,LAC,1.44
EWR,WRH,0.90
EWW,EPS,1.24
EWW,SNL,1.04
EXC,EXD,0.78
EXC,SJP,0.48
EXD,EXC,0.78
EXD,EXT,0.93
EXD,NTC,4.24
EXD,TVP,16.50
EXG,AND,0.51
EXG,PTK,1.24
EXM,LYM,2.03
EXN,LYC,0.41
EXN,TOP,1.51
EXR,HHY,0.49
EXR,OLD,1.19
EXT,EXD,0.93
EXT,MBT,1.35
EYN,SAY,3.01
EYN,SEH,2.26
FAL,FMT,0.50
FAV,SEG,3.26
FAV,TEY,4.54
FAV,WHI,7.11
FAZ,KIR,1.69
FAZ,RIL,1.56
FBY,FRE,0.81
FBY,HTO,2.11
FCN,ELW,1.31
FCN,WLI,1.03
FEA,POT,1.91
FEA,SHC,1.75
FEL,AFS,2.69
FEL,HOU,2.40
FEL,WTN,2.30
FEN,BLY,1.06
FEN,BWB,1.00
FER,CMH,1.35
FER,MTA,0.96
FFA,LLI,4.19
FFA,LLL,0.85
FFD,AVF,0.91
FFD,BTH,7.20
FGH,FGW,1.46
FGT,IFI,2.54
FGT,LVN,2.28
FGW,CLR,14.00
FGW,FGH,1.46
FIL,HUB,2.71
FIL,SEM,6.51
FIN,CBY,1.63
FIN,CME,3.58
FIT,BPW,1.43
FIT,PWY,1.38
FIT,SRD,2.93
FKC,DVP,7.41
FKC,FKW,0.64
FKG,CMO,0.96
FKG,PMT,3.25
FKK,CRO,10.29
FKK,PMT,3.21
FKW,FKC,0.64
FKW,SDG,3.83
FLD,BRC,2.13
FLD,SHS,3.50
FLE,FNB,3.28
FLE,WNF,3.36
FLF,GUI,1.85
FLF,NWN,0.86
FLI,CSR,0.66
FLI,IRL,2.18
FLM,MRY,2.01
FLM,WKG,3.65
FLN,PRT,13.95
FLN,SHT,4.63
FLT,BDM,9.63
FLT,HLN,2.96
FLW,HMP,1.66
FLW,STW,0.45
FLW,TED,1.21
FLX,TRM,1.51
FML,AHV,3.21
FML,CAM,2.23
FMR,LWS,4.46
FMR,MCB,1.75
FMT,FAL,0.50
FMT,PNM,0.95
FNB,BKO,5.21
FNB,FLE,3.28
FNC,GLD,3.21
FNC,GOD,0.95
FNH,AHT,3.06
FNH,BTY,3.91
FNN,BAW,2.53
FNN,NCM,1.99
FNR,LGF,2.86
FNR,SAY,3.14
FNT,HON,4.25
FNT,WHM,4.11
FNV,NMN,1.03
FNV,WBR,1.33
FNW,KSL,0.66
FNW,MSS,0.99
FNY,HDH,0.88
FNY,WHD,0.41
FOC,LHA,5.50
FOC,TAY,3.49
FOD,ANG,4.15
FOD,ARU,2.28
FOD,BAA,2.68
FOD,LIT,2.02
FOG,MNP,0.96
FOG,MYL,0.79
FOG,WGR,0.99
FOH,HPA,0.88
FOH,SYD,0.76
FOK,BUL,1.08
FOK,SUT,1.35
FOR,ELG,12.23
FOR,NRN,9.58
FOX,GNR,2.05
FOX,KBF,2.20
FPK,DYP,0.76
FPK,HGY,0.89
FPK,KGX,2.51
FPK,STP,2.78
FRB,LLW,2.66
FRB,MFA,1.10
FRD,HSB,2.53
FRD,RUE,3.23
FRD,RUN,4.01
FRE,ANS,2.86
FRE,FBY,0.81
FRF,GTO,1.08
FRF,GUI,1.25
FRI,KBX,1.24
FRI,WON,1.30
FRL,LAR,3.08
FRL,WKB,3.89
FRM,BOE,5.35
FRM,PTC,3.19
FRM,SNW,3.73
FRN,IGD,9.29
FRN,TAI,3.54
FRO,BRU,10.61
FRO,WSB,5.75
FRS,ABC,8.09
FRS,KBC,7.61
FRT,TBW,2.26
FRT,WAD,2.64
FRW,DCT,0.50
FRW,WNG,0.50
FRY,BUH,2.95
FRY,HES,2.71
FSB,BOH,1.39
FSB,CCH,1.53
FSG,PLD,0.68
FSG,SWK,0.79
FSK,BSB,1.83
FSK,ROL,0.61
FST,LHS,1.73
FTM,GKW,1.38
FTM,GRK,1.23
FTN,HLS,2.30
FTN,PMS,0.81
FTW,BNV,2.24
FTW,SBR,8.76
FWY,BHM,0.91
FWY,UNI,1.48
FXN,CBG,6.98
FXN,STH,1.13
FYS,CMN,7.11
FYS,KWL,4.30
FYS,WTL,20.34
FZH,BDQ,1.72
FZH,SHY,0.98
FZP,COO,1.64
FZP,MAI,1.28
FZW,MRP,3.76
FZW,SES,4.44
FZW,SNA,4.87
GAL,SOI,6.71
GAL,TWB,2.15
GAR,EST,1.00
GAR,SLS,1.13
GBD,BMF,1.50
GBD,EGN,2.31
GBD,SAM,3.73
GBG,NEG,2.24
GBG,SOI,14.60
GBK,CUD,2.84
GBK,NWI,1.75
GBL,DON,21.16
GBL,RET,9.43
GBL,SXY,9.48
GBS,ANG,2.46
GBS,DUR,0.91
GCH,ART,10.61
GCH,HLU,6.85
GCR,CDU,12.65
GCR,CNM,6.53
GCR,LYD,19.40
GCR,SHU,9.14
GCT,GMB,1.99
GCT,HLI,1.31
GCW,LLJ,1.88
GCW,TLC,3.69
GDH,CWH,1.64
GDH,ENC,0.75
GDL,HTY,0.68
GDL,NWN,0.71
GDN,EBR,4.89
GDN,NUF,3.58
GDP,HRO,1.48
GDP,RMF,1.14
GEA,ANN,8.10
GEA,CAR,8.53
GER,DGC,1.78
GER,SRG,2.70
GFD,SGN,0.86
GFF,BGD,0.61
GFF,PGM,1.05
GFN,CKS,1.30
GFN,THB,0.90
GGJ,SCT,4.23
GGJ,THS,6.63
GGJ,WCK,14.20
GGV,HLD,6.11
GGV,SKI,3.68
GIG,CPY,6.64
GIG,LPR,3.83
GIL,TIS,9.08
GIL,TMC,6.83
GIP,CYP,0.75
GIP,WNW,0.93
GIR,BRL,12.25
GIR,MAY,12.36
GKC,CDY,0.83
GKC,GKW,0.65
GKW,FTM,1.38
GKW,GKC,0.65
GLC,AGS,0.38
GLC,AND,0.41
GLC,CBL,5.04
GLC,CDO,3.78
GLC,CML,5.13
GLC,CMY,2.24
GLC,DUM,2.45
GLC,PLE,1.85
GLC,PLW,2.23
GLC,RUT,3.15
GLD,FNC,3.21
GLD,LRD,1.30
GLD,SFR,1.93
GLD,WAN,4.20
GLD,WPL,3.56
GLE,DBL,12.36
GLE,PTH,15.69
GLF,LCL,9.18
GLF,LCS,6.68
GLG,DLY,2.74
GLG,LHW,3.98
GLH,CFD,1.50
GLH,PFM,1.75
GLM,CTM,1.63
GLM,RAI,3.05
GLO,DTG,1.06
GLO,HDF,1.83
GLQ,ASF,2.30
GLQ,BBG,3.24
GLQ,CHC,0.79
GLQ,HST,0.44
GLQ,SPR,1.87
GLS,EGT,1.60
GLS,LHM,2.09
GLT,CDD,3.50
GLT,KDY,7.00
GLT,MNC,5.10
GLY,BRK,4.46
GLY,LWS,3.06
GLZ,BWD,2.84
GLZ,IRL,1.20
GMB,GCT,1.99
GMB,GMD,0.91
GMD,GMB,0.91
GMD,NCE,0.83
GMG,MEW,0.75
GMG,TDU,4.22
GMN,AMR,5.18
GMN,WND,4.49
GMT,EGT,1.50
GMT,SLH,3.31
GMV,CWL,2.83
GMV,MVL,1.14
GMY,CTH,0.69
GMY,SVK,0.73
GNB,KTL,10.28
GNB,RET,10.13
GNF,MSL,2.43
GNF,MSN,6.08
GNH,SCG,0.76
GNH,SWM,1.33
GNL,BKC,0.44
GNL,RFY,0.75
GNR,FOX,2.05
GNR,MLM,2.54
GNT,NWA,3.90
GNT,RNR,3.75
GNW,DEP,0.51
GNW,MZH,0.89
GOB,CRK,3.06
GOB,SHR,17.88
GOD,FNC,0.95
GOD,MLF,1.79
GOE,BTD,0.76
GOE,THC,1.02
GOF,BYL,1.04
GOF,CAN,0.56
GOL,DNO,1.83
GOL,ROG,7.36
GOM,CHL,3.94
GOM,DKT,4.74
GOO,RWC,3.88
GOO,SAM,2.99
GOO,TNN,7.39
GOR,CHO,3.71
GOR,PAN,3.21
GOS,ARN,3.20
GOS,KBK,2.20
GOX,NHL,2.20
GOX,TNA,1.64
GPK,ENC,0.68
GPK,WIH,0.65
GPO,HDH,0.60
GPO,KTW,0.64
GPO,UHL,1.16
GRA,ANC,9.19
GRA,BTF,7.38
GRA,NNG,14.63
GRA,PBO,29.08
GRB,ALR,3.04
GRB,WEE,2.13
GRC,AUD,4.01
GRC,WLF,3.31
GRF,CRG,2.86
GRF,EGF,0.59
GRH,GRL,5.16
GRH,SPS,2.41
GRK,FTM,1.23
GRL,CBC,5.45
GRL,CUB,0.69
GRL,GRH,5.16
GRN,DOR,5.23
GRN,DRO,7.55
GRN,HSG,1.69
GRP,ESD,1.29
GRP,HGR,1.79
GRP,LEE,1.56
GRP,SUP,1.18
GRS,SCH,0.48
GRS,YOK,0.98
GRT,ADV,6.38
GRT,DEN,17.45
GRT,SAL,10.96
GRV,EBD,2.06
GRV,HGM,4.59
GRV,NFL,2.08
GRY,CFH,2.33
GRY,OCK,4.43
GRY,PFL,3.84
GRY,TIL,1.73
GSC,PPK,0.82
GSC,SUM,0.40
GSD,DNT,3.25
GSD,KSW,8.25
GSL,CSK,2.91
GSN,BWO,1.63
GSN,WFN,0.86
GST,APB,1.80
GST,WGW,2.48
GSW,BYN,1.30
GSW,SNH,3.66
GSY,BLD,3.20
GSY,LDS,10.14
GSY,MNN,1.44
GTA,BTT,2.60
GTA,NNT,3.86
GTH,CIM,3.38
GTH,LLM,1.73
GTN,CDF,1.11
GTN,CGN,1.60
GTN,DGL,2.16
GTO,ABY,1.11
GTO,FRF,1.08
GTR,CEL,3.84
GTR,HCH,1.95
GTW,HOR,0.85
GTW,TBD,2.69
GTY,EDY,1.20
GTY,HDG,1.65
GUI,DTN,1.86
GUI,FLF,1.85
GUI,FRF,1.25
GUI,HYT,1.79
GUI,SYB,2.10
GUN,KWG,1.06
GUN,SAT,0.70
GVE,DIN,11.85
GVE,LCC,5.44
GVH,AST,1.09
GVH,ERD,0.96
GWE,CYB,1.88
GWE,WRX,1.60
GWN,LLE,5.64
GWN,NTH,11.50
GWN,SWA,5.14
GYM,ACL,7.91
GYM,BYA,4.69
GYP,MTO,1.04
GYP,NNT,0.58
HAB,BTB,6.44
HAB,SLL,3.79
HAB,ULC,1.70
HAC,CPT,0.99
HAC,LOF,0.55
HAC,REC,0.83
HAD,REE,4.04
HAD,SYT,1.81
HAF,HXX,1.80
HAG,BKD,1.73
HAG,SBJ,1.95
HAI,CUX,1.76
HAI,SDA,1.53
HAL,ALT,0.61
HAL,ASY,1.65
HAM,HOL,2.80
HAM,POO,2.19
HAN,STL,1.73
HAN,WEA,0.84
HAP,CHM,6.18
HAP,WTM,2.65
HAS,BRP,4.01
HAS,DSM,5.19
HAT,WGC,2.64
HAT,WMG,2.23
HAV,BDH,0.66
HAV,RLN,3.21
HAV,WBL,0.69
HAY,HXX,3.71
HAY,STL,1.81
HAY,WDT,2.33
HAZ,CLY,8.12
HAZ,MDL,2.38
HAZ,WSR,0.90
HBB,BSN,3.63
HBB,SWE,3.26
HBD,BYM,12.89
HBD,MYT,1.23
HBD,TOD,4.51
HBN,BSD,2.29
HBN,HRM,2.43
HBP,HGT,0.89
HBP,PNL,2.36
HBY,DTW,5.64
HBY,KID,3.61
HCB,CSH,0.86
HCB,MIJ,1.14
HCH,GTR,1.95
HCH,SDB,3.83
HCN,PLC,5.19
HCN,SPU,3.38
HCT,ACR,1.70
HCT,HPN,1.41
HDB,BLL,3.98
HDB,HEX,7.58
HDE,BOE,1.95
HDE,ESL,3.51
HDF,DTG,0.86
HDF,GLO,1.83
HDG,GTY,1.65
HDG,MIA,1.94
HDG,SYA,1.50
HDH,FNY,0.88
HDH,GPO,0.60
HDL,HRW,1.18
HDL,HTE,0.74
HDM,BCS,12.96
